Timestamp,Prolific ID,"I paid attention to the state of my tree (e.g., growth, health, water, poison) during the study. ",The tree visualization made my commenting behavior feel more visible to me over time. ,"I understood that water drops represented positive or constructive comments, and poison drops represented harmful or negative comments. ",   Seeing changes in my tree helped me notice patterns in how I usually comment online.  ,The tree made the effects of my comments feel more immediate than they usually do on social media.  ,  Watching my tree grow or decline made the consequences of my comments feel more concrete.  , The visualization helped reduce the feeling that my comments “disappear” after I post them.  ,"The water and poison feedback helped me recognize when a comment might be positive, neutral, or negative.  ","  During the study, I became more aware of the tone of my comments.  ", The visualization made me think about how small comments can accumulate over time.  ,I sometimes wanted my tree to receive more water than poison.  ,The state of my tree influenced how I felt about my recent comments.  ,Any changes in my commenting felt self-motivated rather than forced.  ,"Even when I did not consciously think about the tree, its presence still affected how I commented.  ",Do you think the tree visualization influenced how you commented during the study?  ,"  If yes or not sure, how do you think it influenced you?  "," Overall, the tree visualization helped me better understand the impact of my comments.  ",   I found the visualization easy to understand.  ,I would be open to similar visual feedback systems on social media platforms.  ," Is there anything about the tree, water, or poison feedback that stood out to you?  ","Tree Growth extension ID
(Please do not enter your prolific ID or a false ID)"
01/05/2026 11:36,################,5,5,5,5,5,4,4,4,4,5,3,4,4,4,Maybe,,,,,,User_######
01/05/2026 11:36,################,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Yes,Tree visualization helped me create an imaginary image of the effect of small social media comments. ,5,5,5,"The overall real-time nature of the tree was impressive. However, some positive feedback was marked as neutral. ",User_######
01/05/2026 11:37,################,5,5,4,5,4,5,5,4,5,4,4,5,4,5,Yes,IT SHOWED ME WHAT POSITIVE COMMENTS ARE,5,5,5,The Levels,User_######
01/05/2026 11:39,################,5,5,5,5,5,5,4,5,4,5,5,5,5,5,Yes,It helped me to be nice to people and never bully others and choose some words to say,5,4,5,"Yes, in fact its not something that stood out, its a concern of some words that were flagged as poisoned to the tree. Simple words were flagged as toxic 5",User_######
01/05/2026 11:43,################,5,5,4,5,5,4,4,5,5,5,5,4,5,5,Maybe,,5,5,5, I would say the whole thing of monitoring the social media when commenting,User_######
01/05/2026 11:50,################,5,5,5,5,4,5,4,5,5,5,5,5,5,5,Yes,made me see that i don't have to comment negatively,,,,,User_######
01/05/2026 12:33,################,5,5,5,4,5,4,3,4,5,5,5,5,5,4,Yes,It influenced me for consistent commenting and using right words so that my tree cpuldn't be poisoned by negative comments,5,4,5,"Yeah, It helped to understand the impact of my comments to the social media.",User_######
01/05/2026 12:38,################,5,5,4,5,5,5,5,4,4,5,5,5,5,5,No,,,,,,User_######
01/05/2026 12:55,################,5,5,5,5,5,4,5,5,5,5,5,5,5,3,Yes,Was always alert and willing because of visualization,,,,,User_######
01/05/2026 14:09,################,4,5,3,5,5,3,5,5,4,4,4,4,4,4,Maybe,"Seeing the tree made it easier to spot main points and missing details, so my comments were more focused and organized.",,,,,User_######
01/05/2026 14:15,################,4,4,5,4,4,5,4,4,4,3,5,4,3,4,Yes,made me have positive coments,,,,,User_######
01/05/2026 14:29,################,2,2,5,1,2,1,1,5,4,2,2,1,1,1,No,,3,5,5,"The study was interesting, however I felt most of the things were not Negative nor Positive, just Neutral. Even when I felt they should have gone one way or the other. So I felt it did not categorize comments properly. So in most cases I just ignored the extension, because I did not feel it was accurate.",User_######
01/05/2026 14:32,################,5,5,4,5,5,4,4,5,5,5,5,5,4,4,Yes,"it made mewant to comment only positive things,i sometimes deleted  my comments if they showed as negative.I would also add nice positive words to get more water drops.",,,,,User_######
01/05/2026 14:43,################,3,2,5,4,5,4,4,5,3,5,5,4,3,5,Yes,I felt monitored,5,5,5,"some comments that i did not realise where offensive until the poison feedback,which made me re think what i was writing and better rephrase my comment",User_######
01/05/2026 14:47,################,5,5,5,5,5,5,5,5,5,5,5,5,5,5,No,,,,,,User_######
01/05/2026 15:01,################,5,5,4,4,4,4,5,5,5,4,5,5,5,5,Yes,It made me make positive comments,,,,,User_######
01/05/2026 15:06,################,5,5,5,5,4,5,5,5,5,5,5,5,5,5,Yes,I started minding how I comment on other peoples posters and made I commented positive comments only. ,3,5,4,"Not really but it was very interesting participating in the whole study, being monitored for the comments you write on social media making sure that they are only, it made me learn something new",User_######
01/05/2026 15:08,################,5,5,5,5,4,4,3,5,5,5,5,4,4,4,No,,5,5,5,Everything was perfect after my issue was resolved,User_######
01/05/2026 15:16,################,2,2,3,2,2,2,1,4,1,3,4,3,1,1,No,I think I'm content with the comments I like to post so having someone watching my comments doesnt change the way I post ,5,5,5,It did not record some of my comments. I loved the overall feel of it though,User_######
01/05/2026 15:43,################,4,4,5,5,5,5,5,5,5,5,5,5,4,2,Maybe,I always wanted to comment positively,5,5,5,no,User_######
01/05/2026 15:55,################,3,3,3,3,3,4,4,4,4,4,4,3,3,3,No,no comment,4,4,4,none,User_######
01/05/2026 16:06,################,5,4,5,5,4,3,4,5,5,5,5,2,5,4,Yes,It made me comment more frequently and positively,5,5,5,The progress and ranking made it a unique experience.,User_######
01/05/2026 16:07,################,4,3,3,3,4,3,1,5,3,4,4,4,2,3,Yes,I could not comment with just emojis,4,3,4,No,User_######
01/05/2026 16:08,################,5,5,4,4,4,3,4,4,4,4,5,4,3,4,Yes,I needed to make the comments in consideration of the tree.,5,5,4,the change when comments were made really stood out.,User_######
01/05/2026 16:18,################,5,4,5,5,5,4,4,5,5,4,3,5,5,4,Yes,That motivated me to make more positive comments and choose my words very wisely .,5,5,4,"Yes, I noticed while that when I  was  making a comment on that, if mistakenly I type a bad or wrong  word on there, it immediately added on my Tree even if I tied to re-write that  but that included comment doesn't remove from my tree account.  ",User_######
01/05/2026 16:35,################,5,4,4,4,4,4,4,5,4,4,5,5,5,4,Yes,I wanted more positivity so it changed my tone ,5,5,5,Some words are programed to be water and some good words are not. ,User_######
01/05/2026 17:19,################,4,4,5,4,4,4,3,5,5,4,5,5,4,4,Yes,It made me want to be nicer in my responses.,5,5,5,None,User_######
01/05/2026 17:24,################,4,3,5,4,3,2,2,4,3,4,1,1,1,1,No,,3,5,4,the picture of the tree and the drop when you are commenting is a good feedback to have,User_######
01/05/2026 17:33,################,5,4,5,4,2,4,3,5,5,4,5,4,2,3,Yes,"It made me more aware of what I post and how I post it, especially regarding the positivity of the comments",4,3,5,"I really liked the visualization, but some things could be improved: a better visualization of whether the comment is neutral, positive, or negative (sometimes it's kind of hidden in the tweet box and you have to scroll), my tree always appeared as an apple tree, even though I chose another one.

It would also be interesting if the poison had an effect, for example, when entering the app page seeing the poison hitting the tree, or a positive effect like butterflies and sparkles.

I know it's still in beta, but I found the app super promising!",User_######
01/05/2026 17:53,################,4,4,3,5,3,3,4,5,4,4,5,4,4,4,Yes,by being able to comment,4,3,4,the tree growth,User_######
01/05/2026 18:07,################,5,3,4,5,4,5,3,5,4,5,5,5,3,4,Yes,Managing my responses to always get the positive sign is very pleased,5,5,5,I learned that words can be poisoned ,User_######
01/06/2026 02:51,################,3,4,2,4,4,3,3,4,5,3,5,3,2,3,Yes,It made me be more conscious about how I comment,4,4,3,None,User_######
01/06/2026 04:09,################,1,2,1,4,4,4,4,3,4,4,4,4,4,4,No,,5,5,5,no,User_######
01/06/2026 15:41,################,4,4,5,4,5,4,5,4,5,4,5,4,5,4,Yes,It made me more aware of my comments.,5,5,5,Nothing,User_######
01/06/2026 18:50,################,4,4,5,5,4,5,5,5,5,5,5,3,3,4,Yes,You wouldn't comment honestly out of fear the tree would be poisoned.,4,5,5,"Sometimes, or most times, an honest but critical comment would be painted as negative while it necessarily wasn't.",User_######
01/06/2026 23:32,################,5,5,5,5,5,5,4,5,4,5,5,5,4,4,Yes,More visibility of my commenting behaviour,5,5,5,"More good commenting, more positive growth in my tree",User_######
01/07/2026 04:58,################,4,5,5,4,4,4,3,5,4,4,5,5,4,4,Yes,it made me try to be more positive,4,5,5,no,User_######
